"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"NKX2-8","ENSG00000136327.7",15.7984588295249,-1.22801284215333,0.116992698097855,-10.4964913376577,8.96506846529338e-26,1.35266205831723e-25,"Up in Cluster 4"
"AC007637.1","ENSG00000256139.2",23.5957545141532,0.573552469167135,0.0546441697362654,10.4961329257143,8.99916054847037e-26,1.35773361113385e-25,"Up in Cluster 7"
"WNK3","ENSG00000196632.10",379.015995153928,0.78527767457714,0.0748200356983391,10.495553326695,9.05456402625407e-26,1.36601977436394e-25,"Up in Cluster 7"
"C7orf57","ENSG00000164746.14",54.0596375852687,0.922827627865699,0.0879387170108553,10.4939855757935,9.20612399354395e-26,1.38866307561013e-25,"Up in Cluster 7"
"P2RY4","ENSG00000186912.6",4.36111859594003,-0.681823589963301,0.0649961493993716,-10.4902151321889,9.58099928780668e-26,1.44497892373091e-25,"Up in Cluster 4"
"AC093382.1","ENSG00000226276.1",3.77607845087361,-0.605790530913918,0.0577483489176369,-10.4901792392008,9.58463967211321e-26,1.44545100899946e-25,"Up in Cluster 4"
"MT1X","ENSG00000187193.9",1100.8522781305,0.686285678822217,0.0654465270836055,10.4862046834894,9.99635018872846e-26,1.5073802277883e-25,"Up in Cluster 7"
"KIF19","ENSG00000196169.15",126.345055811064,0.761406721055924,0.0726119093196228,10.4859757605927,1.00205902624506e-25,1.5109550413832e-25,"Up in Cluster 7"
"PKLR","ENSG00000143627.19",991.489875255052,-1.28404036644938,0.122518290692028,-10.4803973284042,1.06296217457755e-25,1.60253200127483e-25,"Up in Cluster 4"
"AC079313.1","ENSG00000258086.1",3.83883302230048,0.702062257568654,0.0669939921188483,10.4794808514051,1.07331293314372e-25,1.61805080130339e-25,"Up in Cluster 7"
"SULT1A1","ENSG00000196502.12",1080.11945636487,-0.564614536121199,0.0539045111377399,-10.4743466586398,1.13317345039308e-25,1.70811050934218e-25,"Up in Cluster 4"
"CHRNA9","ENSG00000174343.6",26.152535096128,1.2077297501083,0.115429745064231,10.4628988778955,1.27882154788614e-25,1.92663085738699e-25,"Up in Cluster 7"
"AC011246.1","ENSG00000286481.1",14.4218520997236,1.15520075434661,0.110469321593601,10.4572087316369,1.35797238617681e-25,2.04565936474585e-25,"Up in Cluster 7"
